name,lat,lon,diam
 ,-26.024,36.664,113.220
 ,21.480,-75.011,113.218
Khansa,-59.018,-51.674,113.205
 ,-30.391,-156.186,112.877
 ,12.306,-141.386,112.800
 ,12.516,-95.356,112.774
 ,41.712,21.448,112.711
Heaney,-33.780,122.253,112.648
 ,-62.087,111.648,112.620
 ,-22.330,-175.045,112.602
 ,0.407,127.314,112.551
 ,50.459,-46.182,112.487
 ,-50.206,-141.200,112.483
 ,17.816,29.274,112.475
 ,-81.746,46.809,112.064
 ,-16.035,-14.262,111.999
Thakur,-2.980,-64.451,111.892
Duccio,58.181,-52.439,111.842
Alencar,-63.661,-103.709,111.778
 ,17.846,-152.706,111.735
 ,23.254,47.966,111.472
 ,15.232,-142.283,111.436
 ,16.206,79.214,111.126
 ,17.812,100.031,111.094
 ,47.635,-112.475,111.089
 ,21.606,8.414,111.064
 ,-51.385,-31.907,111.035
 ,1.007,-168.986,110.976
 ,-41.883,-146.355,110.948
 ,-53.283,-92.883,110.880
 ,55.343,107.972,110.692
 ,44.408,116.328,110.596
 ,7.104,-170.766,110.566
 ,47.643,-92.821,110.465
 ,14.698,65.560,110.424
 ,-10.044,-21.328,110.307
Mistral,4.607,-54.686,110.218
Ts'ao Chan,-13.392,-142.216,110.206
Scopas,-81.211,175.260,110.166
Chu Ta,2.042,-105.699,110.011
 ,6.315,-151.080,109.896
 ,47.857,-121.367,109.873
 ,1.460,108.659,109.829
 ,37.191,-44.944,109.436
Prokofiev,85.633,64.040,109.401
 ,26.725,-73.933,109.250
 ,-29.480,112.964,109.061
 ,24.831,-49.406,108.811
 ,24.616,-95.518,108.757
 ,-4.002,87.431,108.701
 ,32.845,19.094,108.677
 ,-52.121,84.087,108.627
 ,-68.521,-55.013,108.580
 ,7.671,-95.364,108.567
Andal,-47.489,-37.686,108.525
 ,-34.170,59.971,108.511
 ,-41.990,-159.686,108.485
 ,43.766,-66.257,108.478
 ,19.006,121.514,108.436
Vincente,-56.772,-143.081,108.052
Tyagaraja,3.885,-148.855,107.930
 ,39.748,43.406,107.898
 ,11.906,4.714,107.868
 ,32.320,92.352,107.856
 ,11.132,-158.377,107.756
 ,3.907,-86.486,107.556
 ,-54.325,46.652,107.457
Ts'ai Wen-chi,23.468,-22.919,107.331
 ,-52.278,9.742,107.253
 ,-16.973,-142.416,107.253
 ,24.706,-3.486,107.100
 ,39.504,-13.286,107.054
Gibran,35.753,-111.423,107.021
Equiano,-40.058,-30.656,106.976
 ,-27.207,105.912,106.772
 ,28.905,-84.486,106.435
 ,-41.311,158.560,106.403
 ,-70.859,13.316,106.308
 ,-26.091,-178.680,106.286
 ,41.698,-168.853,106.129
 ,10.809,-1.809,106.115
 ,-25.825,114.881,106.015
Hitomaro,-16.192,-15.686,106.009
Machaut,-1.993,-82.386,105.948
 ,-21.102,-28.213,105.884
Kalidasa,-18.192,-179.670,105.881
 ,47.486,145.736,105.785
 ,11.184,-135.023,105.780
Harunobu,14.910,-140.910,105.776
 ,4.685,28.582,105.741
 ,-40.727,10.934,105.663
 ,12.921,-19.976,105.613
Grainger,-44.090,104.814,105.589
Mussorgskij,32.836,-97.572,105.522
 ,-53.988,91.014,105.311
 ,-26.237,-22.976,105.178
Dowland,-53.683,179.281,105.108
 ,-5.893,122.314,105.080
Boethius,-0.999,-73.585,105.022
Enheduanna,48.325,-33.656,105.005
Mickiewicz,23.107,-103.286,104.999
 ,24.427,-81.531,104.807
 ,-29.097,-25.521,104.792
 ,-29.991,153.814,104.768
 ,-47.486,102.445,104.709
 ,19.499,-134.078,104.302
 ,52.886,-149.867,104.133
Eitoku,-21.762,-157.064,104.089
 ,54.343,95.214,104.066
 ,2.437,-164.969,104.010
Keats,-70.254,-156.868,103.915
Holbein,36.108,-29.921,103.702
Mahler,-19.799,-18.884,103.696
 ,55.670,-44.939,103.678
 ,-2.550,131.778,103.613
 ,-40.315,92.960,103.589
 ,52.443,151.844,103.573
 ,-47.372,172.330,103.559
 ,-14.492,-178.760,103.518
 ,59.309,48.204,103.472
 ,32.040,116.773,103.424
 ,-5.408,83.916,103.068
 ,21.056,22.254,102.867
 ,-18.537,18.646,102.833
 ,8.507,-67.721,102.830
 ,4.529,176.772,102.756
Carducci,-36.514,-90.521,102.722
 ,9.674,-60.648,102.698
 ,-24.391,-166.086,102.687
 ,-40.860,-133.306,102.597
 ,-4.497,81.927,102.589
 ,-25.591,128.714,102.583
 ,-82.436,152.970,102.564
 ,-8.128,110.147,102.370
 ,31.745,113.994,102.297
 ,34.273,115.364,102.282
 ,15.246,111.384,102.203
Balagtas,-22.409,-13.622,102.172
 ,65.793,118.200,102.161
